record_id,taxpayer_id,tin,business_name,owner_name,taxpayer_type,business_sector,lga,registration_date,tax_year,tax_month,tax_type,filing_due_date,filing_date,filing_status,amount_assessed,amount_paid,outstanding_balance,payment_status,payment_method,payment_date,audit_status,audit_result,penalty,annual_turnover,risk_level,compliance_score,revenue_office,notification_sent,registration_year,registration_month,filing_month,payment_month
11,100527,KAD-TIN-202500010,Allen PLC,John White,Individual,Agriculture,Zangon Kataf,2024-02-04,2025,Aug,Business Premises,2024-03-21,2024-02-04,Late,644394,644394,0,Paid,Pos,2024-04-18,Audited,Underpayment,106708,104225547,Low,32,Zaria,No,2024,February,March,April
12,100056,KAD-TIN-202500011,"Booth, Donaldson and Anderson",Gina Potter,Corporate,Retail,Chikun,2024-06-30,2025,Jul,Withholding Tax,2025-03-03,,Late,3967686,3967686,0,Paid,Bank Transfer,2025-03-16,Audited,No Issue,140584,242847567,Low,74,Kaduna North,No,2024,June,March,March
13,100564,KAD-TIN-202500012,"Ward, Andrade and Peterson",John Stevens,Individual,Retail,Soba,2024-08-24,2025,Sep,Paye,2025-01-28,,Filed,3767250,3767250,0,Paid,Pos,2025-02-05,Not Audited,Underpayment,126185,116754704,Medium,27,Kaduna North,No,2024,August,January,February
14,100293,KAD-TIN-202500013,Wood-Koch,Amanda Henderson,Sme,Healthcare,Zangon Kataf,2024-01-02,2025,Dec,Road Tax,2024-08-18,,Late,3866886,3866886,0,Paid,Pos,2024-09-03,Audited,No Issue,151828,396995888,High,27,Zaria,No,2024,January,August,September
15,100544,KAD-TIN-202500014,Carson PLC,Tamara Moran,Individual,Retail,Lere,2024-01-30,2025,Feb,Business Premises,2024-03-25,,Not Filed,4049591,1054553,2995038,Partial,Bank Transfer,2024-03-27,Audited,Underpayment,31427,479969363,High,51,Zaria,Yes,2024,January,March,March
16,100579,KAD-TIN-202500015,Wade-Thomas,Christopher French,Corporate,Agriculture,Kaduna North,2024-11-13,2025,Apr,Withholding Tax,2025-01-23,,Late,4946198,4946198,0,Paid,Ngn,2025-02-15,Audited,Pending,169214,163059704,Medium,60,Kaduna North,Yes,2024,November,January,February
17,100551,KAD-TIN-202500016,Cox-Torres,Zachary Kelly,Individual,Healthcare,Kaduna North,2024-08-22,2025,Mar,Withholding Tax,2025-08-05,,Not Filed,888703,38409,850294,Partial,Bank Transfer,2025-08-18,Not Audited,Underpayment,41352,237248548,High,58,Zaria,Yes,2024,August,August,August
18,100138,KAD-TIN-202500017,"Harris, Carrillo and Hines",Susan Robinson,Sme,Retail,Igabi,2024-12-07,2025,Dec,Business Premises,2025-10-16,,Late,918946,918946,0,Paid,Ngn,2025-10-27,Not Audited,No Issue,180223,342503909,Medium,84,Kaduna South,No,2024,December,October,October
19,100284,KAD-TIN-202500018,Walls PLC,Jeffrey King,Individual,Retail,Kagarko,2025-04-08,2025,Mar,Withholding Tax,2025-06-03,2025-03-06,Filed,3603211,3603211,0,Paid,Portal,2025-06-28,Audited,No Issue,19724,476114134,High,39,Zaria,Yes,2025,April,June,June
20,100441,KAD-TIN-202500019,White-Hayes,Hannah Gonzalez,Individual,Retail,Kaduna South,2025-03-03,2025,Jun,Paye,2025-10-08,,Not Filed,4684916,621150,4063766,Partial,Ngn,2025-10-19,Audited,Pending,26946,191879769,High,72,Zaria,Yes,2025,March,October,October
21,100423,KAD-TIN-202500020,Velazquez Ltd,Javier Lynch,Individual,Ict,Kagarko,2025-04-18,2025,Jul,Business Premises,2025-09-16,,Filed,1535222,1535222,0,Paid,Pos,2025-09-20,Not Audited,No Issue,123388,121418192,Low,78,Kaduna South,No,2025,April,September,September
22,100676,KAD-TIN-202500021,Miller-Byrd,Sonya Salazar,Individual,Manufacturing,Kagarko,2025-02-24,2025,May,Paye,2025-07-20,2025-08-08,Filed,248511,248511,0,Paid,Ngn,2025-08-09,Not Audited,Pending,140565,179784731,Low,34,Kaduna South,Yes,2025,February,July,August
23,100611,KAD-TIN-202500022,Morrison Group,Sandra Love,Sme,Agriculture,Kagarko,2024-10-24,2025,Jul,Paye,2025-04-07,,Filed,959346,959346,0,Paid,Pos,2025-04-21,Audited,Pending,114309,2907996,High,88,Zaria,Yes,2024,October,April,April
24,100639,KAD-TIN-202500023,"Simpson, Garcia and Mckinney",Gregory Smith,Sme,Retail,Kaduna South,2024-07-05,2025,Sep,Withholding Tax,2025-03-12,,Filed,2819918,2819918,0,Paid,Portal,2025-03-30,Not Audited,Pending,77504,299647935,Low,44,Kaduna South,No,2024,July,March,March
25,100416,KAD-TIN-202500024,"Vazquez, Bradley and Trujillo",Kimberly Smith,Corporate,Retail,Kaduna South,2024-12-12,2025,May,Business Premises,2025-04-10,,Not Filed,4824000,1262275,3561725,Partial,Portal,2025-04-28,Not Audited,Underpayment,115909,364724611,Low,85,Kaduna South,Yes,2024,December,April,April
26,100680,KAD-TIN-202500025,Davis-Hunt,Brenda Duran,Corporate,Healthcare,Kagarko,2024-12-03,2025,Feb,Business Premises,2025-02-14,2025-02-03,Late,4373924,4373924,0,Paid,Ngn,2025-02-26,Audited,No Issue,6402,26810802,Low,80,Zaria,Yes,2024,December,February,February
27,100394,KAD-TIN-202500026,Rodriguez Group,Ashley Parker,Sme,Manufacturing,Kachia,2024-08-21,2025,Mar,Paye,2025-04-20,,Not Filed,4879077,815520,4063557,Partial,Bank Transfer,2025-05-15,Audited,No Issue,182429,280076450,Medium,26,Zaria,Yes,2024,August,April,May
28,100476,KAD-TIN-202500027,Davis LLC,Margaret Holt,Corporate,Healthcare,Makarfi,2025-04-14,2025,Oct,Withholding Tax,2025-07-15,2025-03-08,Late,1168529,1168529,0,Paid,Portal,2025-08-14,Not Audited,Pending,116893,483684935,Low,80,Kaduna South,No,2025,April,July,August
29,100497,KAD-TIN-202500028,Smith PLC,Jessica Cherry,Corporate,Ict,Kaduna North,2025-01-19,2025,Aug,Paye,2025-06-24,,Not Filed,2376256,1093244,1283012,Partial,Ngn,2025-07-07,Not Audited,Underpayment,83809,481440131,High,30,Kaduna North,Yes,2025,January,June,July
30,100066,KAD-TIN-202500029,"Juarez, Bush and Robles",James Fields,Sme,Manufacturing,Kagarko,2024-04-28,2025,Sep,Road Tax,2024-12-10,,Not Filed,1331823,224345,1107478,Partial,Portal,2024-12-11,Audited,Underpayment,102099,487781456,High,22,Zaria,No,2024,April,December,December
31,100400,KAD-TIN-202500030,"Rush, Carr and George",Joanne Dunn,Sme,Healthcare,Makarfi,2024-09-01,2025,Oct,Business Premises,2024-10-04,,Late,2554944,2554944,0,Paid,Pos,2024-10-19,Not Audited,Underpayment,7608,210766121,Medium,71,Zaria,Yes,2024,September,October,October
32,100028,KAD-TIN-202500031,Wagner PLC,Ashley Brown DDS,Sme,Healthcare,Sabon Gari,2025-03-06,2025,Nov,Paye,2025-11-30,,Filed,4530553,4530553,0,Paid,Portal,2025-12-06,Not Audited,No Issue,13181,141670356,Medium,61,Kaduna North,No,2025,March,November,December
33,100432,KAD-TIN-202500032,Krueger-Brown,Taylor Morales,Sme,Retail,Kudan,2024-06-16,2025,Jan,Paye,2025-01-04,2025-10-01,Late,2384185,2384185,0,Paid,Pos,2025-01-06,Audited,No Issue,64823,109030950,Low,99,Kaduna North,Yes,2024,June,January,January
34,100224,KAD-TIN-202500033,"Newman, Wells and Sanchez",William Larson,Sme,Agriculture,Kajuru,2024-03-05,2025,Mar,Paye,2024-12-02,,Not Filed,1009568,295682,713886,Partial,Pos,2024-12-19,Audited,Pending,6731,169480771,High,68,Kaduna South,Yes,2024,March,December,December
35,100309,KAD-TIN-202500034,"Turner, Watson and Lewis",James Kelley MD,Corporate,Healthcare,Igabi,2024-02-08,2025,Oct,Paye,2025-01-06,,Not Filed,2087168,106851,1980317,Partial,Ngn,2025-01-31,Not Audited,No Issue,132634,349647137,Medium,21,Kaduna South,No,2024,February,January,January
36,100157,KAD-TIN-202500035,Munoz PLC,Natalie Parker,Sme,Ict,Lere,2024-02-24,2025,Nov,Withholding Tax,2024-11-01,,Late,3906573,3906573,0,Paid,Portal,2024-11-28,Not Audited,Pending,155313,146093758,Medium,51,Kaduna North,No,2024,February,November,November
37,100584,KAD-TIN-202500036,"Page, Smith and Robbins",Katelyn Wilson,Corporate,Manufacturing,Kagarko,2025-03-27,2025,Jan,Road Tax,2025-12-12,,Filed,3948257,3948257,0,Paid,Pos,2026-01-10,Audited,Underpayment,67725,184718024,Medium,96,Zaria,No,2025,March,December,January
38,100248,KAD-TIN-202500037,Morrison-Smith,Kimberly Douglas,Corporate,Manufacturing,Kudan,2024-10-11,2025,Sep,Business Premises,2024-11-15,,Not Filed,1652697,89771,1562926,Partial,Portal,2024-12-14,Not Audited,No Issue,24393,159966524,Low,71,Zaria,Yes,2024,October,November,December
39,100567,KAD-TIN-202500038,"Grant, Watkins and Owens",Natalie Garcia,Corporate,Agriculture,Kauru,2024-06-05,2025,Dec,Withholding Tax,2025-04-28,2025-04-05,Late,4019996,4019996,0,Paid,Portal,2025-05-13,Not Audited,Underpayment,60434,66776632,High,44,Kaduna South,Yes,2024,June,April,May
40,100222,KAD-TIN-202500039,Ortiz Ltd,Mrs. Beth Ross,Corporate,Manufacturing,Kaduna North,2025-01-15,2025,Dec,Withholding Tax,2025-11-15,,Not Filed,1603149,200845,1402304,Partial,Bank Transfer,2025-11-25,Not Audited,No Issue,94602,98336946,Medium,21,Zaria,Yes,2025,January,November,November
41,100300,KAD-TIN-202500040,"Alvarez, Hernandez and Campbell",Jeremy Cox,Corporate,Ict,Soba,2024-05-20,2025,Aug,Paye,2024-07-12,2024-07-07,Filed,4691911,4691911,0,Paid,Ngn,2024-08-09,Not Audited,Underpayment,89314,100979491,Low,52,Kaduna South,Yes,2024,May,July,August
42,100076,KAD-TIN-202500041,Brown PLC,Michael Barton,Corporate,Retail,Ikara,2025-02-24,2025,Mar,Withholding Tax,2025-04-28,,Late,4175069,4175069,0,Paid,Pos,2025-05-03,Not Audited,Pending,156271,426525748,High,48,Zaria,No,2025,February,April,May
43,100440,KAD-TIN-202500042,"Shepherd, Lloyd and Dunn",Matthew Glover,Sme,Healthcare,Sanga,2024-08-18,2025,Jan,Paye,2025-05-01,,Late,4986906,4986906,0,Paid,Pos,2025-05-12,Not Audited,Pending,21282,86319384,Low,42,Zaria,Yes,2024,August,May,May
44,100609,KAD-TIN-202500043,"Powell, Robinson and Berry",Brittany Martin,Sme,Agriculture,Chikun,2024-03-21,2025,Apr,Withholding Tax,2024-04-21,2024-08-05,Late,3829098,3829098,0,Paid,Ngn,2024-05-18,Audited,Pending,61190,498020966,Medium,100,Zaria,Yes,2024,March,April,May
45,100153,KAD-TIN-202500044,"Wallace, Lowe and Miller",Kevin Torres,Sme,Ict,Giwa,2024-08-05,2025,Jan,Business Premises,2024-11-01,,Not Filed,1935838,679094,1256744,Partial,Ngn,2024-11-17,Not Audited,No Issue,122866,371731182,Medium,71,Kaduna South,No,2024,August,November,November
46,100331,KAD-TIN-202500045,Underwood-Rosales,Sandra Henson,Corporate,Agriculture,Birnin Gwari,2024-08-12,2025,Feb,Business Premises,2024-10-22,,Not Filed,384376,113253,271123,Partial,Bank Transfer,2024-11-06,Audited,No Issue,123338,280616589,High,76,Kaduna South,Yes,2024,August,October,November
47,100094,KAD-TIN-202500046,"Aguilar, Kim and Logan",James Fields,Sme,Agriculture,Kauru,2024-10-26,2025,Jun,Withholding Tax,2025-07-06,,Not Filed,4174894,2032256,2142638,Partial,Bank Transfer,2025-07-14,Not Audited,Underpayment,181842,268002906,Medium,71,Zaria,Yes,2024,October,July,July
48,100332,KAD-TIN-202500047,Pennington-Sutton,Shawn Gilbert,Individual,Manufacturing,Lere,2024-08-20,2025,Jan,Road Tax,2024-11-03,2024-11-11,Late,2167275,2167275,0,Paid,Bank Transfer,2024-11-13,Not Audited,Pending,198297,269626444,High,76,Kaduna North,Yes,2024,August,November,November
49,100449,KAD-TIN-202500048,Bennett-Johnson,Robert Figueroa,Corporate,Manufacturing,Igabi,2024-05-16,2025,Jan,Business Premises,2025-03-23,2025-09-04,Filed,2466163,2466163,0,Paid,Pos,2025-04-09,Audited,Pending,106952,52041311,Low,34,Kaduna South,Yes,2024,May,March,April
50,100522,KAD-TIN-202500049,"Decker, Rivera and Smith",Amber Combs,Corporate,Agriculture,Kauru,2024-11-27,2025,Aug,Road Tax,2025-03-15,,Late,2498312,2498312,0,Paid,Portal,2025-03-22,Not Audited,No Issue,157123,274859750,High,37,Kaduna North,No,2024,November,March,March
51,100274,KAD-TIN-202500050,"Clayton, Smith and Carroll",Julie Fields,Individual,Agriculture,Kaduna South,2025-01-30,2025,Oct,Road Tax,2025-09-29,,Late,4309212,4309212,0,Paid,Portal,2025-10-27,Not Audited,Underpayment,144681,411564151,High,68,Kaduna South,No,2025,January,September,October
52,100393,KAD-TIN-202500051,Wright Group,Zoe Jordan,Individual,Manufacturing,Chikun,2025-03-21,2025,Jun,Road Tax,2025-07-25,,Not Filed,2053246,599573,1453673,Partial,Portal,2025-08-16,Audited,Underpayment,9704,69777949,High,95,Kaduna South,Yes,2025,March,July,August
53,100468,KAD-TIN-202500052,Tran LLC,Mark Grant,Individual,Ict,Kauru,2025-03-23,2025,Nov,Business Premises,2025-12-03,,Filed,4461997,4461997,0,Paid,Portal,2025-12-17,Not Audited,Pending,181588,215397234,High,30,Kaduna South,No,2025,March,December,December
54,100555,KAD-TIN-202500053,"Rodriguez, Garza and Campos",David Jenkins,Individual,Healthcare,Giwa,2025-05-03,2025,Apr,Withholding Tax,2025-11-11,,Not Filed,4143200,1829519,2313681,Partial,Pos,2025-11-14,Not Audited,No Issue,199326,342240773,High,32,Kaduna South,Yes,2025,May,November,November
55,100333,KAD-TIN-202500054,"Young, Ford and Walton",Timothy Mills,Individual,Agriculture,Kajuru,2024-12-21,2025,Jun,Road Tax,2025-06-22,,Filed,435800,435800,0,Paid,Pos,2025-07-16,Audited,No Issue,45893,44395809,High,68,Zaria,Yes,2024,December,June,July
56,100473,KAD-TIN-202500055,"Jackson, Brown and Guerrero",Jane Patterson,Corporate,Agriculture,Kubau,2024-09-11,2025,May,Paye,2025-08-05,,Filed,1997737,1997737,0,Paid,Portal,2025-08-21,Audited,No Issue,115796,187524129,High,58,Zaria,No,2024,September,August,August
57,100204,KAD-TIN-202500056,Brown-Parker,Eric Richardson,Sme,Manufacturing,Igabi,2024-12-19,2025,Apr,Road Tax,2025-05-26,2025-08-06,Late,2584380,2584380,0,Paid,Ngn,2025-06-11,Not Audited,No Issue,172550,214496591,Medium,21,Zaria,Yes,2024,December,May,June
58,100236,KAD-TIN-202500057,Mendez-Hall,Karla Mcdonald,Corporate,Agriculture,Kachia,2025-04-11,2025,Nov,Business Premises,2026-03-17,,Not Filed,4216850,1200385,3016465,Partial,Ngn,2026-03-23,Audited,Pending,169434,23164835,Medium,76,Kaduna North,No,2025,April,March,March
59,100335,KAD-TIN-202500058,Bell-Foster,Mark Keller,Corporate,Manufacturing,Jaba,2025-01-09,2025,Apr,Business Premises,2025-04-16,2025-06-05,Filed,2525565,2525565,0,Paid,Ngn,2025-05-16,Not Audited,No Issue,67363,492726293,Medium,57,Zaria,No,2025,January,April,May
60,100145,KAD-TIN-202500059,"Ramsey, Oliver and White",Abigail Petty,Individual,Manufacturing,Makarfi,2025-02-15,2025,Jun,Paye,2025-05-14,2025-03-06,Late,681656,681656,0,Paid,Portal,2025-05-12,Not Audited,Pending,32398,246161390,Medium,53,Zaria,No,2025,February,May,May
61,100692,KAD-TIN-202500060,Sharp-Jones,Taylor Waters,Individual,Manufacturing,Birnin Gwari,2025-02-25,2025,Oct,Withholding Tax,2026-02-16,2026-02-03,Late,958872,958872,0,Paid,Pos,2026-02-18,Not Audited,Pending,79217,350557775,Medium,34,Kaduna North,Yes,2025,February,February,February
62,100119,KAD-TIN-202500061,"Thornton, Freeman and Wright",Deborah Greene,Individual,Ict,Makarfi,2025-04-29,2025,Mar,Road Tax,2025-06-17,,Late,4182434,4182434,0,Paid,Ngn,2025-07-11,Audited,Underpayment,171683,55161835,Medium,98,Kaduna South,No,2025,April,June,July
63,100456,KAD-TIN-202500062,"Ellis, Smith and Mays",Tammy Harrington,Individual,Agriculture,Igabi,2024-01-17,2025,Nov,Withholding Tax,2024-08-23,2024-04-09,Filed,3769366,3769366,0,Paid,Ngn,2024-08-24,Not Audited,Underpayment,49757,67583999,Medium,31,Zaria,Yes,2024,January,August,August
64,100342,KAD-TIN-202500063,Fischer Ltd,Ellen Bryant,Individual,Ict,Sabon Gari,2024-11-24,2025,Apr,Paye,2025-11-16,,Not Filed,229159,6629,222530,Partial,Pos,2025-11-27,Audited,Underpayment,38680,425399889,High,20,Kaduna South,Yes,2024,November,November,November
65,100113,KAD-TIN-202500064,Ortiz PLC,Michelle Smith,Corporate,Retail,Ikara,2024-03-07,2025,Jan,Withholding Tax,2025-01-07,,Late,1513787,1513787,0,Paid,Pos,2025-01-25,Audited,No Issue,69564,30131510,Low,73,Zaria,Yes,2024,March,January,January
66,100371,KAD-TIN-202500065,"Ruiz, Kirk and Savage",Keith Roberts,Corporate,Healthcare,Igabi,2025-01-16,2025,Aug,Business Premises,2025-03-19,2025-02-04,Late,3810405,3810405,0,Paid,Bank Transfer,2025-04-05,Not Audited,Pending,8165,34655388,Medium,71,Kaduna South,Yes,2025,January,March,April
67,100330,KAD-TIN-202500066,King LLC,Brittany Petersen,Corporate,Ict,Giwa,2024-09-08,2025,Mar,Withholding Tax,2025-05-23,2025-06-06,Filed,727719,727719,0,Paid,Ngn,2025-06-14,Not Audited,Underpayment,132527,327036034,Medium,32,Zaria,Yes,2024,September,May,June
68,100441,KAD-TIN-202500067,Moore-Leblanc,Danielle Munoz,Sme,Ict,Kauru,2025-03-12,2025,Jun,Road Tax,2026-03-12,,Not Filed,4674935,901872,3773063,Partial,Portal,2026-04-05,Audited,Underpayment,111873,169784815,High,52,Kaduna South,Yes,2025,March,March,April
69,100088,KAD-TIN-202500068,Ochoa-Miller,Melissa Simmons,Individual,Manufacturing,Igabi,2024-12-17,2025,Dec,Withholding Tax,2025-09-15,2025-05-10,Filed,815248,815248,0,Paid,Pos,2025-09-16,Not Audited,Pending,32042,222551207,Medium,74,Zaria,Yes,2024,December,September,September
70,100107,KAD-TIN-202500069,"Mitchell, Le and Branch",Alan Medina,Corporate,Healthcare,Jema'A,2025-05-10,2025,Mar,Road Tax,2025-11-03,,Not Filed,2671011,737455,1933556,Partial,Pos,2025-11-07,Not Audited,Pending,96353,63678583,Medium,93,Kaduna North,No,2025,May,November,November
71,100624,KAD-TIN-202500070,Edwards Group,Gary Jones,Corporate,Agriculture,Birnin Gwari,2025-03-08,2025,Mar,Withholding Tax,2026-01-19,,Not Filed,4720271,110116,4610155,Partial,Ngn,2026-02-07,Not Audited,No Issue,47554,469003985,Low,92,Zaria,No,2025,March,January,February
72,100544,KAD-TIN-202500071,Morrison Ltd,Angela Higgins,Individual,Manufacturing,Kauru,2024-02-05,2025,Aug,Withholding Tax,2024-05-17,,Not Filed,307170,24053,283117,Partial,Pos,2024-06-07,Not Audited,Pending,85035,419060446,High,96,Kaduna North,Yes,2024,February,May,June
73,100084,KAD-TIN-202500072,"Frost, Oconnor and Lowe",Lisa Gray,Sme,Manufacturing,Zangon Kataf,2024-03-20,2025,Jul,Road Tax,2024-07-08,,Not Filed,467438,176676,290762,Partial,Portal,2024-08-01,Not Audited,No Issue,197903,277063830,Low,64,Kaduna South,Yes,2024,March,July,August
74,100684,KAD-TIN-202500073,Ellis-Smith,John Sanders,Sme,Retail,Kachia,2024-05-25,2025,Jul,Paye,2025-04-23,,Late,4470243,4470243,0,Paid,Pos,2025-05-10,Audited,No Issue,66982,157395744,Medium,35,Kaduna North,No,2024,May,April,May
75,100390,KAD-TIN-202500074,"Lambert, Fowler and Price",Samuel Lynch,Corporate,Ict,Lere,2025-01-17,2025,Sep,Withholding Tax,2025-09-24,,Filed,1133688,1133688,0,Paid,Portal,2025-09-24,Not Audited,No Issue,120521,496545317,Low,60,Zaria,No,2025,January,September,September
76,100118,KAD-TIN-202500075,"Yates, Romero and Gates",Lisa Richardson,Sme,Retail,Kagarko,2024-10-20,2025,Mar,Road Tax,2025-06-14,,Not Filed,3553870,607157,2946713,Partial,Ngn,2025-06-17,Not Audited,No Issue,63783,235902053,High,71,Zaria,Yes,2024,October,June,June
77,100342,KAD-TIN-202500076,Ortega LLC,Jacob Richards,Individual,Retail,Lere,2024-07-21,2025,Nov,Paye,2025-01-25,,Not Filed,2898043,464670,2433373,Partial,Pos,2025-02-14,Not Audited,Pending,169199,439569663,Low,50,Kaduna North,Yes,2024,July,January,February
78,100672,KAD-TIN-202500077,Carter-Hill,Timothy Garcia,Individual,Ict,Soba,2024-05-11,2025,Aug,Road Tax,2024-09-19,2024-08-10,Filed,1332364,1332364,0,Paid,Portal,2024-10-07,Not Audited,No Issue,115281,38660907,Medium,76,Zaria,No,2024,May,September,October
79,100520,KAD-TIN-202500078,Luna Ltd,Zachary Webb,Individual,Agriculture,Kubau,2025-02-11,2025,Aug,Paye,2025-07-31,,Not Filed,521205,92259,428946,Partial,Bank Transfer,2025-08-21,Not Audited,No Issue,168995,465990703,Low,98,Zaria,No,2025,February,July,August
80,100586,KAD-TIN-202500079,Flores-Fisher,April Foley,Corporate,Ict,Kagarko,2024-08-24,2025,Oct,Road Tax,2025-07-17,,Not Filed,394123,117894,276229,Partial,Pos,2025-07-18,Not Audited,No Issue,90030,385495242,Low,84,Zaria,Yes,2024,August,July,July
81,100537,KAD-TIN-202500080,"Silva, Brooks and Mitchell",Ashlee Lewis,Corporate,Healthcare,Jaba,2024-01-21,2025,Jun,Withholding Tax,2024-06-25,,Not Filed,3722182,921534,2800648,Partial,Ngn,2024-07-17,Not Audited,Underpayment,177968,322987531,Low,100,Zaria,No,2024,January,June,July
82,100695,KAD-TIN-202500081,"Harris, Combs and Hicks",Jeffery King,Sme,Agriculture,Kaduna North,2024-02-03,2025,Dec,Business Premises,2024-08-19,,Filed,4730534,4730534,0,Paid,Bank Transfer,2024-08-26,Not Audited,Underpayment,171980,376993573,High,70,Kaduna North,Yes,2024,February,August,August
83,100131,KAD-TIN-202500082,Suarez-Powers,Michael Vaughn,Corporate,Healthcare,Giwa,2024-06-07,2025,Nov,Road Tax,2025-04-19,,Late,2805461,2805461,0,Paid,Ngn,2025-04-18,Not Audited,Underpayment,47254,116993810,Medium,82,Kaduna North,Yes,2024,June,April,April
84,100104,KAD-TIN-202500083,Reed and Sons,Timothy King,Corporate,Healthcare,Lere,2024-03-11,2025,Jan,Withholding Tax,2024-06-28,,Filed,2531283,2531283,0,Paid,Pos,2024-07-20,Audited,No Issue,47407,448324978,High,99,Kaduna North,No,2024,March,June,July
85,100455,KAD-TIN-202500084,"Howard, Jimenez and Campbell",Chad Shaw,Corporate,Agriculture,Kubau,2024-01-23,2025,Apr,Business Premises,2024-09-19,,Late,2042547,2042547,0,Paid,Portal,2024-09-29,Not Audited,Pending,149532,238543931,Medium,56,Kaduna South,No,2024,January,September,September
86,100257,KAD-TIN-202500085,"Edwards, Cruz and Jennings",Lori Davidson,Individual,Manufacturing,Kajuru,2025-05-09,2025,Sep,Paye,2025-08-29,,Filed,1210971,1210971,0,Paid,Bank Transfer,2025-09-14,Audited,No Issue,71510,243226417,High,38,Kaduna South,Yes,2025,May,August,September
87,100028,KAD-TIN-202500086,"Green, Carter and Taylor",Krista Wilkerson,Sme,Retail,Kaura,2025-04-29,2025,Sep,Withholding Tax,2025-09-19,,Late,2982532,2982532,0,Paid,Portal,2025-09-22,Not Audited,No Issue,7389,173092636,Low,62,Kaduna North,Yes,2025,April,September,September
88,100481,KAD-TIN-202500087,"Garcia, West and Daniel",Rodney Hughes,Sme,Healthcare,Birnin Gwari,2024-01-20,2025,Feb,Paye,2024-07-14,,Late,1214277,1214277,0,Paid,Pos,2024-07-21,Not Audited,No Issue,75524,129582127,Medium,35,Kaduna North,Yes,2024,January,July,July
89,100114,KAD-TIN-202500088,Murphy-Faulkner,Craig Briggs,Sme,Healthcare,Makarfi,2024-08-02,2025,Jan,Business Premises,2025-07-25,,Not Filed,3884546,131716,3752830,Partial,Pos,2025-08-10,Not Audited,No Issue,161168,191416668,Low,93,Kaduna South,Yes,2024,August,July,August
